ndvi,temperature,humidity,rainfall,risk_level,pest_type
0.26,33.8,85.7,18.0,High,Leaf Blight
0.64,27.2,53.2,10.1,Medium,Aphids
0.49,31.2,52.7,5.0,Medium,Armyworm
0.57,30.0,57.4,9.6,Medium,Armyworm
0.55,28.1,70.0,12.6,Medium,Armyworm
0.45,25.9,66.7,10.6,Medium,Armyworm
0.72,25.2,45.7,0.0,Low,No Pest
0.53,32.8,70.8,14.1,Medium,Armyworm
0.26,32.9,79.9,15.6,High,Leaf Blight
0.17,30.1,73.6,22.7,High,Leaf Blight
0.16,32.8,69.2,20.5,High,Leaf Blight
0.19,30.5,90.0,15.5,High,Leaf Blight
0.72,29.4,53.4,4.0,Low,No Pest
0.75,29.6,51.8,2.3,Low,No Pest
0.72,29.8,40.9,1.1,Low,No Pest
0.26,31.9,72.2,21.2,High,Leaf Blight
0.76,27.8,42.1,2.0,Low,No Pest
0.2,29.5,74.2,16.9,High,Leaf Blight
0.38,34.8,89.2,23.9,High,Aphids
0.14,29.4,89.7,24.4,High,Aphids
0.75,28.8,42.3,2.3,Low,No Pest
0.47,30.4,67.8,8.3,Medium,Aphids
0.13,28.7,78.6,21.2,High,Aphids
0.76,29.0,45.7,1.5,Low,No Pest
0.65,32.3,74.7,9.5,Medium,Armyworm
0.79,25.9,40.0,1.4,Low,No Pest
0.2,32.7,74.5,12.9,High,Leaf Blight
0.74,27.5,42.1,2.5,Low,No Pest
0.6,28.2,53.9,10.1,Medium,Armyworm
0.32,31.5,82.8,22.9,High,Aphids
0.74,29.8,51.1,2.5,Low,No Pest
0.3,31.7,75.9,21.9,High,Leaf Blight
0.74,27.7,40.6,1.4,Low,No Pest
0.41,29.5,66.8,12.1,Medium,Aphids
0.27,34.5,76.6,21.7,High,Aphids
0.6,30.9,53.0,7.6,Medium,Aphids
0.23,28.5,82.8,22.5,High,Aphids
0.73,24.7,48.1,4.5,Low,No Pest
0.67,26.6,54.1,11.7,Medium,Armyworm
0.46,29.9,67.8,4.0,Medium,Aphids
0.34,31.7,90.0,20.2,High,Aphids
0.8,25.3,43.7,1.0,Low,No Pest
0.44,29.3,52.9,8.8,Medium,Aphids
0.15,28.8,76.5,11.0,High,Aphids
0.49,28.3,57.4,4.2,Medium,Armyworm
0.8,26.5,50.4,1.6,Low,No Pest
0.1,30.3,78.1,20.5,High,Aphids
0.38,32.8,82.5,20.1,High,Leaf Blight
0.72,26.8,47.3,4.4,Low,No Pest
0.24,34.8,81.7,21.9,High,Leaf Blight
0.73,27.7,44.8,4.6,Low,No Pest
0.49,29.7,55.8,5.0,Medium,Armyworm
0.38,28.3,76.6,18.2,High,Leaf Blight
0.1,30.1,90.0,19.8,High,Leaf Blight
0.41,33.0,76.1,13.9,High,Leaf Blight
0.16,35.0,80.2,14.8,High,Aphids
0.57,29.0,68.4,11.5,Medium,Armyworm
0.32,29.8,75.4,14.5,High,Aphids
0.72,27.8,52.4,1.8,Low,No Pest
0.35,31.2,76.0,17.2,High,Leaf Blight
0.55,29.3,53.8,2.8,Medium,Armyworm
0.49,27.6,58.2,8.2,Medium,Armyworm
0.7,29.9,46.2,3.8,Low,No Pest
0.63,26.1,68.3,11.3,Medium,Aphids
0.75,28.9,40.0,5.3,Low,No Pest
0.58,33.5,68.3,9.4,Medium,Armyworm
0.68,32.4,64.4,9.5,Medium,Armyworm
0.73,30.4,48.4,0.6,Low,No Pest
0.59,26.7,64.5,5.1,Medium,Armyworm
0.72,25.5,40.0,5.3,Low,No Pest
0.58,28.2,66.1,5.0,Medium,Aphids
0.67,27.6,48.8,0.3,Low,No Pest
0.76,29.5,47.7,0.5,Low,No Pest
0.66,32.5,65.4,7.9,Medium,Armyworm
0.54,27.3,52.4,6.2,Medium,Armyworm
0.51,29.3,53.8,10.6,Medium,Aphids
0.77,26.1,46.7,5.1,Low,No Pest
0.31,31.7,55.6,10.7,Medium,Armyworm
0.76,27.7,45.6,1.0,Low,No Pest
0.3,32.0,87.0,11.2,High,Aphids
0.76,25.9,50.4,1.3,Low,No Pest
0.44,30.0,70.5,9.1,Medium,Armyworm
0.49,32.5,50.4,3.8,Medium,Armyworm
0.76,25.3,51.3,2.1,Low,No Pest
0.41,30.2,66.2,13.6,Medium,Aphids
0.15,31.7,80.9,10.9,High,Aphids
0.12,29.1,90.0,14.4,High,Aphids
0.47,27.8,59.0,12.5,Medium,Aphids
0.33,32.8,86.7,25.0,High,Leaf Blight
0.15,30.9,81.5,14.3,High,Aphids
0.15,29.9,80.3,17.4,High,Leaf Blight
0.76,26.3,41.1,0.8,Low,No Pest
0.77,25.3,43.7,0.8,Low,No Pest
0.75,24.6,40.0,3.8,Low,No Pest
0.73,24.0,46.7,3.4,Low,No Pest
0.74,28.3,47.1,1.9,Low,No Pest
0.2,32.6,80.9,23.4,High,Aphids
0.44,28.2,60.1,7.7,Medium,Armyworm
0.72,29.2,50.8,3.1,Low,No Pest
0.15,34.3,81.6,17.0,High,Aphids
0.78,25.9,48.9,0.7,Low,No Pest
0.64,32.1,70.8,4.5,Medium,Armyworm
